CIC_MEM_VERS	=	1.0																			
CREATION_DATE	=	2012-03-29T11:35:51.065																			
ORIGINATOR	=	CNES	- DCT/DA/PA-																	

META_START
																					
COMMENT																					
COMMENT	Consumed power :
COMMENT	SURVIE VEILLE        : 68 W
COMMENT	VEILLE               : 103 W
COMMENT	ACQUISITION          : 137 W
COMMENT	MANOEUVRE D'ATTITUDE : 110 W
COMMENT	TRANSMISSION BANDE S : 118 W
COMMENT	TRANSMISSION BANDE X : 173 W
COMMENT
						
OBJECT_NAME	=	CIC-Sat																			
OBJECT_ID	=	CIC-Sat																			

USER_DEFINED_PROTOCOL	=	CIC																			
USER_DEFINED_CONTENT	=	SATELLITE_CONSUMED_POWER

TIME_SYSTEM	=	UTC
																			
META_STOP		

57578	7920	68
57578	7930	68
57578	7940	68
57578	7950	68
57578	7960	68
57578	7970	68
57578	7980	68
57578	7990	68
57578	8000	110
57578	8010	110
57578	8020	110
57578	8030	110
57578	8040	110
57578	8050	110
57578	8060	110
57578	8070	110
57578	8080	110
57578	8090	110
57578	8100	110
57578	8110	110
57578	8120	110
57578	8130	110
57578	8140	110
57578	8150	110
57578	8160	110
57578	8170	110
57578	8180	110
57578	8190	110
57578	8200	110
57578	8210	110
57578	8220	110
57578	8230	110
57578	8240	110
57578	8250	110
57578	8260	110
57578	8270	110
57578	8280	110
57578	8290	110
57578	8300	110
57578	8310	110
57578	8320	110
57578	8330	110
57578	8340	110
57578	8350	110
57578	8360	110
57578	8370	110
57578	8380	110
57578	8390	110
57578	8400	110
57578	8410	110
57578	8420	110
57578	8430	110
57578	8440	110
57578	8450	110
57578	8460	110
57578	8470	110
57578	8480	110
57578	8490	110
57578	8500	110
57578	8510	110
57578	8520	110
57578	8530	110
57578	8540	110
57578	8550	110
57578	8560	110
57578	8570	110
57578	8580	110
57578	8590	110
57578	8600	110
57578	8610	110
57578	8620	110
57578	8630	110
57578	8640	110
57578	8650	110
57578	8660	110
57578	8670	110
57578	8680	110
57578	8690	110
57578	8700	110
57578	8710	110
57578	8720	110
57578	8730	110
57578	8740	110
57578	8750	110
57578	8760	110
57578	8770	110
57578	8780	110
57578	8790	110
57578	8800	110
57578	8810	110
57578	8820	110
57578	8830	110
57578	8840	110
57578	8850	110
57578	8860	110
57578	8870	110
57578	8880	110
57578	8890	110
57578	8900	110
57578	8910	110
57578	8920	110
57578	8930	110
57578	8940	110
57578	8950	110
57578	8960	110
57578	8970	110
57578	8980	110
57578	8990	110
57578	9000	103
57578	9010	103
57578	9020	103
57578	9030	103
57578	9040	103
57578	9050	103
57578	9060	103
57578	9070	103
57578	9080	103
57578	9090	103
57578	9100	103
57578	9110	103
57578	9120	103
57578	9130	103
57578	9140	103
57578	9150	103
57578	9160	103
57578	9170	103
57578	9180	103
57578	9190	103
57578	9200	103
57578	9210	103
57578	9220	103
57578	9230	103
57578	9240	103
57578	9250	103
57578	9260	103
57578	9270	103
57578	9280	103
57578	9290	103
57578	9300	103
57578	9310	103
57578	9320	103
57578	9330	103
57578	9340	103
57578	9350	103
57578	9360	103
57578	9370	103
57578	9380	103
57578	9390	103
57578	9400	103
57578	9410	103
