CIC_MEM_VERS = 1.0
CREATION_DATE  = 2012-03-29T11:35:52.253
ORIGINATOR     = CNES - DCT/SB/MS

META_START

OBJECT_NAME = CIC-Sat
OBJECT_ID = CIC-Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC

META_STOP

57578 4310.00000 -0.00118
57578 4320.00000 -0.00111
57578 4330.00000 -0.00104
57578 4340.00000 -0.00096
57578 4350.00000 -0.00089
57578 4360.00000 -0.00082
57578 4370.00000 -0.00075
57578 4380.00000 -0.00068
57578 4390.00000 -0.00060
57578 4400.00000 -0.00053
57578 4410.00000 -0.00046
57578 4420.00000 -0.00039
57578 4430.00000 -0.00032
57578 4440.00000 -0.00025
57578 4450.00000 -0.00018
57578 4460.00000 -0.00011
57578 4470.00000 -0.00004
57578 4480.00000 0.00003
57578 4490.00000 0.00009
57578 4500.00000 0.00016
57578 4510.00000 0.00022
57578 4520.00000 0.00029
57578 4530.00000 0.00035
57578 4540.00000 0.00041
57578 4550.00000 0.00047
57578 4560.00000 0.00052
57578 4570.00000 0.00058
57578 4580.00000 0.00063
57578 4590.00000 0.00068
57578 4600.00000 0.00073
57578 4610.00000 0.00078
57578 4620.00000 0.00083
57578 4630.00000 0.00088
57578 4640.00000 0.00092
57578 4650.00000 0.00096
57578 4660.00000 0.00100
57578 4670.00000 0.00104
57578 4680.00000 0.00107
57578 4690.00000 0.00111
57578 4700.00000 0.00114
57578 4710.00000 0.00117
57578 4720.00000 0.00120
57578 4730.00000 0.00122
57578 4740.00000 0.00125
57578 4750.00000 0.00127
57578 4760.00000 0.00129
57578 4770.00000 0.00131
57578 4780.00000 0.00132
57578 4790.00000 0.00134
57578 4800.00000 0.00135
57578 4810.00000 0.00136
57578 4820.00000 0.00137
57578 4830.00000 0.00137
57578 4840.00000 0.00138
57578 4850.00000 0.00138
57578 4860.00000 0.00139
57578 4870.00000 0.00139
57578 4880.00000 0.00139
57578 4890.00000 0.00138
57578 4900.00000 0.00138
57578 4910.00000 0.00138
57578 4920.00000 0.00137
57578 4930.00000 0.00136
57578 4940.00000 0.00135
57578 4950.00000 0.00134
57578 4960.00000 0.00133
57578 4970.00000 0.00132
57578 4980.00000 0.00131
57578 4990.00000 0.00130
57578 5000.00000 0.00128
57578 5010.00000 0.00127
57578 5020.00000 0.00125
57578 5030.00000 0.00124
57578 5040.00000 0.00122
57578 5050.00000 0.00120
57578 5060.00000 0.00119
57578 5070.00000 0.00117
57578 5080.00000 0.00115
57578 5090.00000 0.00114
57578 5100.00000 0.00112
57578 5110.00000 0.00110
57578 5120.00000 0.00108
57578 5130.00000 0.00107
57578 5140.00000 0.00105
57578 5150.00000 0.00103
57578 5160.00000 0.00102
57578 5170.00000 0.00100
57578 5180.00000 0.00098
57578 5190.00000 0.00097
57578 5200.00000 0.00095
57578 5210.00000 0.00094
57578 5220.00000 0.00093
57578 5230.00000 0.00091
57578 5240.00000 0.00090
57578 5250.00000 0.00089
57578 5260.00000 0.00088
57578 5270.00000 0.00087
57578 5280.00000 0.00086
57578 5290.00000 0.00085
57578 5300.00000 0.00085
57578 5310.00000 0.00084
57578 5320.00000 0.00083
57578 5330.00000 0.00083
57578 5340.00000 0.00082
57578 5350.00000 0.00082
57578 5360.00000 0.00082
57578 5370.00000 0.00082
57578 5380.00000 0.00082
57578 5390.00000 0.00082
57578 5400.00000 0.00082
57578 5410.00000 0.00082
57578 5420.00000 0.00082
57578 5430.00000 0.00083
57578 5440.00000 0.00083
57578 5450.00000 0.00084
57578 5460.00000 0.00084
57578 5470.00000 0.00085
57578 5480.00000 0.00086
57578 5490.00000 0.00086
57578 5500.00000 0.00087
57578 5510.00000 0.00088
57578 5520.00000 0.00089
57578 5530.00000 0.00090
57578 5540.00000 0.00091
57578 5550.00000 0.00092
57578 5560.00000 0.00093
57578 5570.00000 0.00094
57578 5580.00000 0.00095
57578 5590.00000 0.00096
57578 5600.00000 0.00097
57578 5610.00000 0.00098
57578 5620.00000 0.00099
57578 5630.00000 0.00100
57578 5640.00000 0.00101
57578 5650.00000 0.00101
57578 5660.00000 0.00102
57578 5670.00000 0.00103
57578 5680.00000 0.00104
57578 5690.00000 0.00104
57578 5700.00000 0.00105
57578 5710.00000 0.00106
57578 5720.00000 0.00106
57578 5730.00000 0.00106
57578 5740.00000 0.00107
57578 5750.00000 0.00107
57578 5760.00000 0.00107
57578 5770.00000 0.00107
57578 5780.00000 0.00106
57578 5790.00000 0.00106
57578 5800.00000 0.00106
57578 5810.00000 0.00105
57578 5820.00000 0.00104
57578 5830.00000 0.00104
57578 5840.00000 0.00103
57578 5850.00000 0.00101
57578 5860.00000 0.00100
57578 5870.00000 0.00099
57578 5880.00000 0.00097
57578 5890.00000 0.00095
57578 5900.00000 0.00093
57578 5910.00000 0.00091
57578 5920.00000 0.00089
